abalienate передавать
abdication отказ
abdicator отреченец
abdomen живот
abidingly неизменно
birthday рождения
birthmark родинка
birthplace рождения
connexion связь
conning боевой
connivance попустительство
drab бесцветный
drabness однообразие
drachma драхма
draconian драконовский
dracula дракула
draft разрабатывать
exhaustion извлечение
exhaustive полный
exiguity скудность
exile ссылать
filed подавать
filet филе
filial филиал
filigree филигранный
filing занесение
gullible легковерный
gully овраг
gulp глоток
healthy	здоровый
heap нагромождать
heart сердце
hectare гектар
heroism героизм
herringbone елочка
illiquid неликвидный
illiteracy неграмотность
illiterate неграмотный
illness болезнь
illogical нелогичный
illuminate освещать
junk рухлядь
junker юнкер
junket кисель
junkman старьевщик
junta хунта
jupiter юпитер
jurassic юрский
juridical юридический
pencil карандаш
primate примат
registry регистратура
regret сожаление
sailboat яхта
skyjacker захватчик
skylark жаворонок
skylarked резвиться
stuntman каскадер
stupe компресс
toasted жареный
toaster тостер
toasting тост
toastmaster тамада
unmatched несогласованный
unmeaning бессмысленный
unmeant непреднамеренный
unmeasured неизмеренный
vascular сосудистый
vase ваза
vaseline вазелин
vassal вассал
vast обширный
vastly значительно
vastness необозримость
wearer владелец
wearied утомленный
wearies утомлять
weariless неутомимый
wearily утомленно
weariness усталость
wearing носить
zoologies зоология
zoologist зоолог
zoology зоология
zoom гудеть
